operator,operator_address,date_established,families_served,Longtitude,Latitude
Samahan ng Manggagawa at Mangingisda ng Banocboc,"Sitio Sogod, Banocboc, Calaguas Island, Vinzons, Camarines Norte",2/1/2012,2034,122.937868,14.473298
BLGU-Canapawan,"Canapawan, Labo, Camarines Norte",3/1/2009,2830,122.554243,14.175892
Municipal LGU   ,"San Vicente, Viga, Catanduanes  ",6/1/2011,175,124.308567,13.868534
Countryside Agrarian Reform Beneficiaries Multipurpose Coopertive,"Maulawin, Sto. Elena, Camarines Norte",2/1/2012,145,122.380096,14.165803
BLGU _ Nabungsoran,"Brgy. Nabungsuran, Aroroy, Masbate",1/1/2011,4045,123.395691,12.510325
BLGU _ Poblacion,"Brgy. Poblacion, Aroroy, Masbate",1/1/2009,1852,123.395691,12.510325
Mauswagan Credit Cooperative (MACRECO),"Brgy. Poblacion, Palanas, Masbate",3/1/2012,519,123.783919,12.223506
BLGU _ Sto. Lucia,"Sto. Lucia, Nabua, Camarines Sur",6/1/2008,1554,123.381491,13.420277
BLGU _ San Jacinto,"District 1, San Jacinto, Ticao, Masbate",11/1/2011,270,123.684699,12.537074
BLGU _ Batuan,"Poblacion, Batuan, Masbate",8/1/2011,2517,123.780513,12.420761
Municipal LGU     ,"District 3, San Miguel, Catanduanes   ",-,24,124.27411,13.642706
Spiritual and Material Integrated Farmers and Fisherfolk Association ," San Vicente, Pandan,  Catanduanes",7/1/2010,55,124.247931,14.011826
Brgy. LGU,"Brgy. Sto. Lutgarda, Cabusao, Camarines Sur",5/1/2010,320,123.090154,13.735051
"Diocese of Virac Social Action Foundation, Inc (DVSAFI)","Bigaa, Virac, Catanduanes",2/10/2011,377,124.189347,13.594758
Caramoran Employees Credit Cooperative  ,"Brgy. Baybay, Caramoran, Catanduanes  ",3/1/2012,90,124.132331,13.98767
Brgy. LGU    ,"Ilawod Poblacion, Bato, Catanduanes  ",7/1/2011,92,124.298065,13.606225
Brgy. LGU   ,"San Roque, Bato, Catanduanes ",2/1/2010,104,124.32826,13.603072
Municipal LGU  ,"District 2, Gigmoto,  Catanduanes",6/16/2001,533,124.379603,13.780854
Brgy. LGU,"Brgy. Mapanique, San Pascual, Masbate",7/1/2010,100,123.060102,13.039778
MLGU _ Calabanga,"Public Market, Calabanga, Camarines Sur",7/1/2011,-,123.214443,13.706003
Maliliit na Sambayanang Simbahan Diocesa MPC. (MSSD MPC),"Camambugan, Daet, Camarines Norte",2/1/2011,50,122.946584,14.108479
Bagamanok Municipal Employees Association (BAGMEA),"Brgy. Poblacion, Bagamanok, Catanduanes",2/1/2011,174,124.139286,13.99283
Brgy. LGU,"Brgy. Malaking Ilog, San Pascual, Masbate",2/1/2010,140,123.053292,12.998896
BFT _ Batobalani,"Batobalani, Paracale, Camarines Norte",2/1/2009,3635,122.739899,14.2357
BFT _ Pambuhan,"Pambuhan, Mercedes, Camarines Norte",5/1/2009,2565,123.050763,13.988692
Brgy. LGU,"Brgy. San Rafael, Castilla, Sorsogon",6/1/2011,800,123.822107,12.970696
Brgy. LGU,"Brgy. Otavi, Bulan Sorsogon",3/1/2011,30,123.908787,12.642192
Bulan LGU,"Bulan, Sorsogon",7/1/2011,-,123.887734,12.664994
Tabunan BLGU ,"Tabunan, Matnog, Sorsogon ",3/1/2012,250,124.082934,12.580026
LGU-Legaspi City,"Gogon, Legaspi City",1/1/2012,-,123.744788,13.156735
